GSM1692546	GSM1692547	GSM1692548	GSM1692549	GSM1692550	GSM1692551	GSM1692552	GSM1692553	GSM1692554
1700016H13Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.191328473	2.184710334	2.184710334	2.184710334
1700016K19Rik	2.213018927	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700016P04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700017B05Rik	4.81193187	4.786211373	4.977056244	4.959636531	4.981699052	4.170932985	4.959636531	4.596838739	5.378642831
1700017G19Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700017H01Rik	4.447638156	3.197079837	4.613685473	4.505463664	4.494054662	4.405212784	4.602525498	4.733931022	4.640615077
1700017L05Rik	2.418542449	2.418542449	2.418542449	2.418542449	2.418542449	2.418542449	2.418406681	2.502357853	2.418542449
1700017N19Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700018A04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.363066317	2.206360221	2.185386425
1700018A14Rik	2.184710334	2.186720175	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700018B08Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700018B24Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700018F24Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700018G05Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700018L02Rik	2.271243035	2.271243035	2.271243035	2.271243035	2.271243035	2.271243035	2.271243035	2.271243035	2.271243035
1700018M17Rik	2.241939929	2.241841634	2.232951481	2.241841634	2.241841634	2.241841634	2.241841634	2.241841634	2.241841634
1700018P08Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700019A02Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700019D03Rik	4.985421537	4.990166918	5.075506985	4.885874241	5.31778753	6.296232362	5.893284625	5.350328166	4.984498496
1700019L13Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700019M22Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700019N19Rik	2.184710334	2.184710334	2.495258223	2.184710334	2.184710334	2.184710334	2.184710334	2.186035699	2.184710334
1700019P21Rik	2.184710334	2.184710334	2.184710334	2.220153095	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700020A23Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700020G03Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184771122	2.184710334	2.184710334	2.184710334
1700020L24Rik	2.184710334	2.184710334	2.189928787	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700020M10Rik	2.184710334	2.184710334	2.184710334	2.187531588	2.184710334	2.184710334	2.277081029	2.301508203	2.195193605
1700020N01Rik	2.184710334	2.184710334	2.184710334	2.219471085	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700021A07Rik	2.650102622	2.650102622	2.650102622	2.650102622	2.650102622	2.650922881	2.650102622	2.723506958	2.650102622
1700021F07Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700021N20Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.199557136	2.184710334	2.184710334	2.184710334	2.184710334
1700021P04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700022A21Rik	2.387507025	2.387507025	2.387507025	2.387507025	2.387507025	2.387507025	2.387507025	2.387507025	2.387507025
1700022A22Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
