	GSM356334	GSM356335	GSM356336	GSM356337
Crip1	9.86384225537069	9.79987514122247	9.25643310704647	9.38001471675904
Ufc1	10.4867266180857	9.80554548578228	10.3780533080398	10.1258789786299
Atp6v0e	11.1066240992746	11.3118200238115	11.3177833641014	11.1005725698344
Cd81	12.3025335169336	11.9019145569866	12.1185830901207	12.2501972765838
Nfe2l1	8.83331293647277	9.01157449910899	8.50189021525624	9.01223049251719
Cirbp	7.74940710917048	9.88148356291765	7.90800933210777	8.01369745770242
Dok2	6.23451631372523	6.45725989776757	6.14186932804123	6.24533534340298
Snrpd1	7.79989611312457	7.22649543142832	7.62366219423605	7.47008870016344
Sh3gl1	8.18458042796696	7.8835760762346	7.74354747497925	7.50349816572836
Prkcsh	9.86282803648183	9.74409539189496	9.95657988551755	9.78782392521118
Polr2c	9.39935975745772	9.0533927171412	9.58533210188088	9.29167752086818
Mrpl34	9.47925033612967	8.44440824033445	9.73978129607737	9.23526523521696
Klf16	5.84550294522194	6.07307155817525	5.87730021825275	5.97689591091491
Map2k1	9.93988166160204	9.29715367101892	9.75111809858392	9.71823141827177
Nr1h2	9.27605954062049	8.61564407166598	9.17969871205855	9.02219949959259
Mcam	6.31512825812447	6.4192009311353	6.29357620695834	6.24894670457356
Mfsd10	6.56545562980202	7.12666617779099	6.69519136116346	6.59681389659901
Dync1i1	3.70095505394131	3.74771165449247	3.85702867700671	3.57367265384361
Fmc1	10.1952919098014	9.21942647215208	10.0826847085763	9.98459378190589
Gsta4	9.81012193432461	8.56889625897586	8.693319301351	9.82764920553552
Mfsd14b	9.44237298561972	9.04853695090206	9.29050629956688	9.31821207048109
Tmem97	7.31067900785491	7.08401770205896	7.0640873689366	7.30245918695328
Pdcd7	6.44795872585409	5.88324220968218	5.95037207277596	6.11830804313276
Pnkp	7.48200269646666	7.36431742937068	7.62012904666284	7.227281020257
Prdx5	12.4069974706863	12.2762611433986	12.7967065750348	12.4745856391854
Cope	10.2782491947255	9.76482205622874	10.5797591722567	9.88966685479646
Emg1	10.4655359276264	9.98948789468361	10.5369711200422	10.246408240837
Bag1	10.9227289869994	10.4942941054319	10.4083784841233	11.1083712132059
Guk1	9.30843715395405	8.75605074382564	9.13826502059461	9.24215666148953
Hmox2	9.62761169725203	9.3934540027435	9.59709934485214	9.67073879084234
Pycrl	8.57028326483871	7.4231486455948	8.70048181030097	8.39984056968851
Pafah1b3	8.11876987632506	7.04771085370541	7.15582624555701	7.28767853583714
Gstm2	9.0168571162429	8.60806636041619	8.47829210798752	9.29632847095948
Nsmaf	7.01073549473803	6.78691097920222	6.95231445957979	6.82081528550311
Ctsj	3.59508905141212	3.76407448030022	3.68407034998613	3.70302802585874
Plin3	9.49182523913887	9.10579132863374	9.31777862624108	9.70836472161991
Rab5a	10.5935125395059	11.0203600367131	10.5771711620746	10.5906447323699
Thap11	8.60338872030642	8.75771868132558	8.41585019941246	8.307232806423
Bcl2l10	4.56768744706888	4.71793788975192	4.64111277574279	4.51975936184005
Ltbr	8.77680063545204	8.43450367231337	8.113713174155	8.41214395871492
Dctpp1	8.79215695151724	8.51184300791311	8.64104926119398	8.8296416713762
Ier2	7.78309725351659	8.27463828904731	6.8323687402013	7.39003688873252
Elovl2	9.3774126106433	7.9059355192106	8.51436054653093	9.24488736662886
Fam98a	9.13518765232888	8.26193256675833	9.11961157769285	8.78810499165193
Oat	11.9700036890448	11.2946313116944	11.0355716568045	11.750452113332
Chia1	4.66119035690247	4.7184706673939	4.74215717916831	4.71472311468206
Ddah2	8.18208625626076	8.57239716031729	7.74924213677845	8.18337413153805
Miox	13.8203648778765	11.6434208555645	13.5284732305452	13.361048681147
Aldh1a1	7.88539837315506	10.1655191225097	7.91142588646524	7.42225568616155
Cept1	9.86380769090203	9.45369900738403	9.86700880267496	9.79921444284843
Tmem14c	9.92760482470444	9.62584164628852	10.0047148722732	9.65149272112067
Timm23	11.6446038920909	11.5224307183948	11.6418092222086	11.5399430263596
Aimp1	9.52438654514977	9.45473997936305	9.04447086794704	9.33441449523831
Tmed6	8.76552879064837	7.63641517558855	8.63896518574978	8.35252117026155
Numbl	6.00297882417435	5.88903786449114	5.87845125775867	6.10670502898624
Ddost	9.87625701609426	9.1033375592393	9.42383914485093	9.48446280439454
Ndufs5	7.48850442574411	6.99887728642467	7.63032396934288	7.53905480193818
Mrfap1	12.0203431159376	12.218085442744	11.9695655825283	12.0300818523192
Ppic	10.2018491414378	9.7864400988193	10.1350296222083	10.1541348561424
Sacm1l	10.7717055310143	10.6672244334952	10.8156107597805	10.7362489981626
Lxn	8.72355900282718	8.40291995513978	8.34416330403246	8.55238860530628
Nr4a1	8.623772248155	8.77908989391199	7.83562958074884	7.57909059040459
Mrpl4	10.5885317106624	9.32974943180771	10.6652355791552	10.1451667309149
Lamb2	7.62002616111376	7.1336526855887	7.01888193723849	7.25407502356362
H1f8	4.89282566407278	4.81566072767595	5.06871385027452	4.94247930015932
Rnase1	5.82530150573248	7.76247183579193	6.43369219180884	5.80461407401745
Rab32	7.41404941972816	6.64224724395435	7.69140525919545	6.94286891314235
Sh3bgrl3	9.56170824062639	9.08605693254185	8.2646820548168	9.0518074585539
Pnp	10.9979013497099	11.0034782329568	11.9436507007309	11.0553901340041
Trrap	9.20488716105473	8.79732410392487	8.59489150569274	9.54009658030064
Egln2	9.48812098986295	9.69018421740816	9.44057382145655	9.5503870629799
Mcrs1	9.08767865732295	9.06032761633882	9.04840548495143	8.87359955042907
Pwwp3a	7.83428223464288	7.07056516676643	7.2496964988582	7.78096263606409
Creld1	8.43450367231337	8.11153102900084	8.10826321907801	8.3510767710554
Hgs	8.83898921599111	9.21227410222558	8.84273071414792	8.77683005478601
Phf1	7.82037573143162	7.66245845609582	7.83830340872431	7.8851625706214
Ezh2	7.06090888164669	6.79347017422996	6.61448713055531	6.80193810461736
Rpl6	12.3225737379039	12.2783158937647	12.1112540463008	12.3142416790624
Ndufb3	11.5377443281825	11.4918884285163	11.6905285452268	11.6474754533326
Dppa5a	5.50667849711841	5.74002993976721	5.6185715360123	5.69659145694024
Cenpx	9.52010310361674	8.61182890701218	9.68262666178364	9.30416458922434
Ei24	10.5219859819665	10.156460310789	10.298804712434	10.6700468841437
Melk	4.44730130774776	4.0994776406597	3.96408408861147	4.17418181605092
Rrp8	7.66977647936058	6.43254963760805	6.6031719336314	6.78309581179175
Ctps	9.16110649560851	8.35037170380272	8.66936431163917	8.33386690615021
Atp5e	11.2396552868583	9.97257286714548	10.6570236347686	11.0645542519482
Cdc45	5.66657917133017	5.29584537568414	5.39623693842847	5.37433412475764
Man2b2	7.46984960813569	6.94488761708293	6.50111799682132	6.89502718596305
Ruvbl1	7.90423800607516	6.81962940682934	7.70800656153941	7.56185652003402
Zfp239	6.34841146649694	6.76511087087703	6.4570604600239	6.669722936707
Xrcc1	7.74404766868629	7.67638956732926	7.59206365687599	7.60967203535056
Ptprn	6.18894318546587	6.64134849831527	6.36207509992669	6.45867774910688
Mrps22	8.98297470564614	8.02243476552492	9.37659490298608	8.58435041615829
Slc44a4	10.4400595047994	9.96389914593499	10.9386355251819	10.4869278946154
Cyc1	12.7857749993111	12.6041261732955	13.0724511387881	12.7480855153936
Llgl1	8.4694675943269	9.07339858739393	8.6930618643934	8.68405362722209
Rcc1l	7.77907541787043	7.03250575844036	7.45508164794487	7.40701387280231
Thbs3	5.05302139075978	5.25759945158456	4.8682914240418	5.03403607045397
Serping1	11.4427984569341	11.6851996234996	10.9806982415341	10.948892908575
Spint1	8.43013424978857	8.6377463950743	7.8883223346399	8.29511494070881
Id3	10.6455366014765	10.0991624490887	10.55334457189	10.5295473529579
